Province_State,Last_Death_Count
Alabama,21032
Alaska,1486
American Samoa,34
Arizona,33102
Arkansas,13020
California,101159
Colorado,14181
Connecticut,12220
Delaware,3324
Diamond Princess,0
District of Columbia,1432
Florida,86850
Georgia,42489
Grand Princess,3
Guam,420
Hawaii,1841
Idaho,5416
Illinois,41496
Indiana,26115
Iowa,10725
Kansas,10066
Kentucky,18130
Louisiana,18766
Maine,2928
Maryland,16544
Massachusetts,24333
Michigan,42205
Minnesota,14870
Mississippi,13370
Missouri,22870
Montana,3652
Nebraska,4936
Nevada,11922
New Hampshire,3003
New Jersey,36015
New Mexico,9061
New York,77157
North Carolina,28432
North Dakota,2470
Northern Mariana Islands,41
Ohio,41796
Oklahoma,17972
Oregon,9373
Pennsylvania,50398
Puerto Rico,5823
Rhode Island,3870
South Carolina,19600
South Dakota,3190
Tennessee,29263
Texas,93390
Utah,5298
Vermont,929
Virgin Islands,130
Virginia,23666
Washington,15683
West Virginia,7960
Wisconsin,16375
Wyoming,2004
